sample_id,iteration,#elem,H_min,H_max,nvx,var(eta_k),error
352,4,180060,0.000291683,0.0208574,91337,1.12446e-06,0.0171341,
352,5,180628,0.000291376,0.0214137,91619,1.13387e-06,0.0168947,
379,0,20000,0.01,0.0141421,10201,0,1.32574,
379,1,33617,0.000732919,0.0504295,17074,4.00661e-05,0.290476,
379,2,22229,0.00089508,0.11766,11399,1.83444e-05,0.292103,
379,3,16497,0.000966208,0.173103,8554,1.91243e-05,0.245455,
379,4,15196,0.00104445,0.178929,7869,2.67348e-05,0.262974,
379,5,14874,0.00112508,0.175548,7705,2.73974e-05,0.261065,
379,6,14704,0.00115942,0.174485,7618,2.79787e-05,0.270777,
379,7,14633,0.00116904,0.178709,7584,2.87364e-05,0.267355,
380,0,20000,0.01,0.0141421,10201,0,1.32574,
380,1,30135,0.000728823,0.0509638,15319,4.69206e-05,0.294465,
380,2,17782,0.00105903,0.115123,9140,2.46356e-05,0.335409,
380,3,13305,0.00117303,0.199382,6905,3.18495e-05,0.327236,
